### 2016-07-14 14:11:02.554859852 +0200 CEST Data Acquisition: aaaa 

### [Ard], localTime(us), sincroTime(us), sensorTime(us), distance(mm), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s) 

[D], 57089,
[Ard], 321687, 0, 1572283148, 220, -0.981934, 0.049805, -0.029785, 1.297710, 1.534351, 0.213740
[Ard], 325605, 0, 1572306564, 221, -0.988770, 0.051758, -0.024902, 1.374046, 1.633588, 0.114504
[Ard], 352654, 0, 1572346084, 221, -0.983643, 0.049805, -0.036621, 1.290076, 1.450382, 0.152672
[Ard], 447200, 0, 1572385604, 221, -0.975586, 0.047363, -0.021240, 1.274809, 1.465649, -0.007634
[Ard], 568240, 0, 1572425124, 220, -0.981934, 0.045410, -0.023682, 1.389313, 1.351145, 0.290076
[Ard], 578446, 0, 1572464652, 221, -0.984131, 0.056641, -0.036133, 1.358779, 1.633588, 0.305344
[Ard], 634593, 0, 1572504164, 221, -0.986816, 0.049316, -0.040527, 1.503817, 1.488550, 0.267176
[Ard], 643220, 0, 1572543684, 221, -0.987061, 0.049805, -0.030273, 1.221374, 1.671756, 0.305344
[Ard], 648243, 0, 1572583204, 222, -0.984863, 0.051758, -0.036133, 1.267176, 1.404580, 0.282443
[Ard], 800620, 0, 1572622724, 220, -0.985352, 0.046387, -0.032715, 1.396947, 1.679389, 0.137405
[Ard], 804490, 0, 1572662244, 221, -0.981934, 0.055176, -0.029785, 1.389313, 1.465649, 0.007634
[Ard], 808766, 0, 1572701764, 221, -0.985352, 0.048828, -0.032715, 1.435115, 1.435115, 0.305344
[Ard], 815389, 0, 1572741284, 222, -0.981689, 0.046387, -0.022705, 1.412214, 1.763359, 0.274809
[Ard], 819986, 0, 1572780804, 222, -0.982422, 0.044434, -0.034668, 1.251908, 1.458015, 0.160305
[Ard], 827921, 0, 1572820324, 220, -0.994141, 0.048828, -0.036865, 1.358779, 1.641221, 0.190840
[Ard], 1097695, 0, 1572859844, 221, -0.984375, 0.052490, -0.031494, 1.404580, 1.580153, 0.206107
[Ard], 1103036, 0, 1572899364, 222, -0.982910, 0.051025, -0.034424, 1.404580, 1.519084, 0.267176
[Ard], 1108843, 0, 1572938884, 221, -0.982178, 0.051025, -0.032959, 1.419847, 1.534351, 0.099237
[Ard], 1114615, 0, 1572978404, 222, -0.988770, 0.053955, -0.036621, 1.396947, 1.595420, 0.297710
[Ard], 1119607, 0, 1573017924, 220, -0.989502, 0.047363, -0.029053, 1.343511, 1.648855, 0.053435
[Ard], 1123344, 0, 1573057444, 221, -0.985596, 0.045654, -0.033691, 1.358779, 1.587786, 0.099237
[Ard], 1127517, 0, 1573096964, 221, -0.984619, 0.045166, -0.031738, 1.458015, 1.549618, 0.312977
[Ard], 1151596, 0, 1573136484, 221, -0.986084, 0.049805, -0.030029, 1.366412, 1.755725, 0.282443
[Ard], 1195586, 0, 1573176004, 221, -0.987305, 0.044434, -0.034424, 1.396947, 1.633588, 0.175573
[Ard], 1240293, 0, 1573215524, 220, -0.972656, 0.048096, -0.031738, 1.267176, 1.526718, 0.091603
[Ard], 1280325, 0, 1573255044, 221, -0.979248, 0.051514, -0.032715, 1.305344, 1.503817, 0.137405
[Ard], 1322095, 0, 1573294564, 220, -0.987793, 0.049316, -0.033447, 1.404580, 1.526718, 0.366412
[Ard], 1331485, 0, 1573334084, 221, -0.980957, 0.048340, -0.039307, 1.427481, 1.526718, 0.381679
[Ard], 1407471, 0, 1573373604, 221, -0.987061, 0.053711, -0.033936, 1.221374, 1.541985, 0.198473
[Ard], 1427288, 0, 1573413124, 220, -0.981689, 0.053223, -0.031250, 1.381679, 1.786260, 0.061069
[Ard], 1466389, 0, 1573452644, 221, -0.984131, 0.049316, -0.030762, 1.335878, 1.435115, 0.152672
[Ard], 1499739, 0, 1573492164, 220, -0.984619, 0.047119, -0.029785, 1.343511, 1.526718, 0.190840
[Ard], 1544300, 0, 1573531684, 221, -0.983643, 0.049316, -0.043701, 1.442748, 1.473282, 0.221374
[Ard], 1586328, 0, 1573571204, 221, -0.984375, 0.049805, -0.037842, 1.335878, 1.572519, 0.221374
[Ard], 1628310, 0, 1573610724, 221, -0.976807, 0.047119, -0.028320, 1.473282, 1.503817, 0.183206
[Ard], 1678675, 0, 1573650244, 221, -0.986328, 0.044189, -0.034668, 1.122137, 1.396947, 0.190840
[Ard], 1708983, 0, 1573689764, 220, -0.980957, 0.051758, -0.034912, 1.221374, 1.625954, 0.282443
[Ard], 1734363, 0, 1573729292, 222, -0.980469, 0.051514, -0.030273, 1.274809, 1.267176, 0.183206
[Ard], 1778641, 0, 1573768804, 222, -0.979492, 0.047363, -0.037842, 1.374046, 1.793893, 0.190840
[Ard], 1826580, 0, 1573808324, 221, -0.981445, 0.048340, -0.032227, 1.305344, 1.458015, 0.305344
[Ard], 1868568, 0, 1573847844, 221, -0.981445, 0.052734, -0.025391, 1.404580, 1.557252, 0.335878
[Ard], 1902706, 0, 1573887364, 225, -0.981689, 0.048340, -0.039062, 1.335878, 1.511450, 0.137405
[Ard], 1952421, 0, 1573926884, 226, -0.980469, 0.045898, -0.030762, 1.343511, 1.717557, 0.122137
[Ard], 1990625, 0, 1573966404, 222, -0.987793, 0.054932, -0.034424, 1.335878, 1.480916, 0.167939
[Ard], 2033004, 0, 1574005924, 221, -0.980713, 0.048096, -0.036621, 1.343511, 1.526718, 0.114504
[Ard], 2043511, 0, 1574045444, 221, -0.982910, 0.042725, -0.028564, 1.251908, 1.732824, 0.297710
[Ard], 2097697, 0, 1574084964, 220, -0.980713, 0.052734, -0.040771, 1.320611, 1.595420, 0.381679
[Ard], 2128272, 0, 1574124484, 226, -0.986572, 0.045166, -0.029053, 1.381679, 1.847328, 0.335878
[Ard], 4494289, 0, 1574243044, 221, -0.983643, 0.049316, -0.032227, 1.458015, 1.442748, 0.312977
[Ard], 4624809, 0, 1574243044, 221, -0.983643, 0.049316, -0.032227, 1.458015, 1.442748, 0.312977
[Ard], 4628974, 0, 1576568532, 222, -0.982666, 0.046143, -0.034424, 1.343511, 1.213740, 0.229008
[Ard], 4632828, 0, 1576591924, 221, -0.980469, 0.057373, -0.032227, 1.358779, 1.763359, 0.404580
[Ard], 4645431, 0, 1576631444, 221, -0.980713, 0.048096, -0.032715, 1.435115, 1.618321, 0.053435
[D], 4501287,
[Ard], 4723273, 0, 1576670964, 221, -0.979248, 0.047363, -0.024414, 1.381679, 1.480916, 0.190840
[Ard], 4848741, 0, 1576710484, 225, -0.980713, 0.045410, -0.035645, 1.206107, 1.656489, 0.259542
[Ard], 4853217, 0, 1576750004, 226, -0.985596, 0.049805, -0.033691, 1.305344, 1.419847, 0.213740
[Ard], 4921093, 0, 1576789524, 222, -0.979980, 0.048096, -0.024902, 1.297710, 1.496183, 0.351145
[Ard], 4969285, 0, 1576829044, 226, -0.979736, 0.045654, -0.031250, 1.335878, 1.358779, 0.229008
[Ard], 4976719, 0, 1576868564, 226, -0.981689, 0.049072, -0.035889, 1.343511, 1.618321, 0.305344
[Ard], 5000487, 0, 1576908084, 221, -0.986084, 0.045898, -0.041260, 1.366412, 1.572519, 0.137405
[Ard], 5049759, 0, 1576947604, 221, -0.978760, 0.048584, -0.034424, 1.358779, 1.480916, 0.068702
[Ard], 5081013, 0, 1576987124, 220, -0.982666, 0.046631, -0.030518, 1.343511, 1.519084, 0.167939
[Ard], 5143233, 0, 1577026644, 226, -0.978760, 0.047607, -0.036621, 1.160305, 1.641221, 0.106870
[Ard], 5148419, 0, 1577066164, 221, -0.987549, 0.045166, -0.033203, 1.312977, 1.412214, 0.167939
[Ard], 5152545, 0, 1577105684, 225, -0.979492, 0.050781, -0.030518, 1.274809, 1.526718, 0.152672
[Ard], 5157767, 0, 1577145204, 226, -0.984131, 0.049561, -0.031494, 1.396947, 1.496183, 0.213740
[Ard], 5197185, 0, 1577184724, 225, -0.981689, 0.051025, -0.029541, 1.343511, 1.366412, 0.175573
[Ard], 5237814, 0, 1577224244, 226, -0.984619, 0.049316, -0.031494, 1.267176, 1.404580, 0.458015
[Ard], 5312433, 0, 1577263764, 226, -0.978760, 0.050049, -0.034424, 1.366412, 1.526718, 0.267176
[Ard], 5328079, 0, 1577303284, 225, -0.985596, 0.049316, -0.031250, 1.442748, 1.732824, 0.305344
[Ard], 5358163, 0, 1577342804, 226, -0.985352, 0.049072, -0.035400, 1.099237, 1.480916, 0.312977
[Ard], 5401651, 0, 1577382324, 225, -0.982422, 0.053711, -0.041992, 1.366412, 1.526718, -0.045802
[Ard], 5444205, 0, 1577421852, 226, -0.986572, 0.050049, -0.028320, 1.412214, 1.534351, 0.259542
[Ard], 5483273, 0, 1577461364, 226, -0.987549, 0.046875, -0.031494, 1.320611, 1.587786, 0.351145
[Ard], 5527145, 0, 1577500884, 226, -0.985840, 0.049316, -0.027832, 1.442748, 1.503817, 0.091603
[Ard], 5565591, 0, 1577540404, 226, -0.981201, 0.051025, -0.033691, 1.503817, 1.541985, 0.221374
[Ard], 5607400, 0, 1577579924, 220, -0.988281, 0.053223, -0.026123, 1.389313, 1.503817, 0.206107
[Ard], 5626774, 0, 1577619444, 226, -0.984131, 0.052002, -0.032227, 1.259542, 1.717557, 0.274809
[Ard], 5687181, 0, 1577658964, 221, -0.982910, 0.052490, -0.034668, 1.541985, 1.488550, 0.183206
[Ard], 5694231, 0, 1577698484, 221, -0.983887, 0.052246, -0.033447, 1.229008, 1.549618, 0.114504
[Ard], 5743230, 0, 1577738004, 221, -0.983398, 0.053955, -0.028076, 1.175573, 1.473282, 0.022901
[Ard], 5797245, 0, 1577777524, 220, -0.977051, 0.045166, -0.029785, 1.312977, 1.633588, 0.213740
[Ard], 5838245, 0, 1577817044, 221, -0.984375, 0.051514, -0.029297, 1.351145, 1.534351, 0.221374
[Ard], 5864292, 0, 1577856564, 222, -0.986572, 0.051514, -0.032471, 1.511450, 1.671756, 0.091603
[Ard], 5911829, 0, 1577896084, 222, -0.983154, 0.052979, -0.029541, 1.297710, 1.641221, 0.213740
[Ard], 5954863, 0, 1577935604, 221, -0.981445, 0.046631, -0.036133, 1.259542, 1.595420, 0.251908
[Ard], 5994024, 0, 1577975124, 220, -0.984131, 0.051025, -0.034424, 1.312977, 1.694656, 0.282443
[Ard], 6050827, 0, 1578014644, 222, -0.989014, 0.046631, -0.029297, 1.221374, 1.824427, 0.251908
[Ard], 6079307, 0, 1578054164, 221, -0.977051, 0.049805, -0.038818, 1.435115, 1.618321, 0.114504
[Ard], 6098878, 0, 1578093684, 222, -0.987549, 0.050537, -0.039551, 1.312977, 1.290076, 0.305344
[Ard], 6139446, 0, 1578133204, 221, -0.977295, 0.050537, -0.034912, 1.335878, 1.557252, 0.167939
[Ard], 6183854, 0, 1578172724, 220, -0.985107, 0.052979, -0.031494, 1.381679, 1.732824, 0.007634
[Ard], 6221991, 0, 1578212244, 221, -0.981445, 0.051270, -0.033447, 1.320611, 1.374046, 0.190840
[Ard], 6258011, 0, 1578251764, 220, -0.978027, 0.042236, -0.032227, 1.320611, 1.496183, 0.068702
[Ard], 6300213, 0, 1578291284, 222, -0.979980, 0.045166, -0.045166, 1.320611, 1.534351, 0.198473
[Ard], 6346910, 0, 1578330804, 221, -0.981445, 0.045166, -0.035156, 1.435115, 1.519084, 0.236641
[Ard], 10981285, 0, 1578449364, 220, -0.977051, 0.050049, -0.034180, 1.251908, 0.969466, 0.129771
[Ard], 10985653, 0, 1578488884, 221, -0.983398, 0.052002, -0.026367, 1.442748, 1.694656, 0.137405
[Ard], 11019637, 0, 1578488884, 221, -0.983398, 0.052002, -0.026367, 1.442748, 1.694656, 0.137405
[Ard], 11057384, 0, 1583069776, 220, -0.982666, 0.046631, -0.035400, 1.175573, 1.984733, 0.396947
[Ard], 11099254, 0, 1583093184, 220, -0.982178, 0.046387, -0.033203, 1.580153, 1.480916, -0.038168
[Ard], 11145283, 0, 1583132704, 221, -0.988281, 0.052490, -0.041016, 1.244275, 1.740458, 0.229008
[Ard], 11186896, 0, 1583172224, 221, -0.984375, 0.043457, -0.039551, 1.511450, 1.580153, 0.221374
[Ard], 11223373, 0, 1583211744, 221, -0.977783, 0.050293, -0.034424, 1.389313, 1.335878, 0.312977
