### 2016-10-04 13:27:11.330614567 +0200 CEST Data Acquisition: abe 

### [Ard]; localTime(us); sensorTime(us); trackerTime(us); distance(mm); accX(g); accY(g); accZ(g); gyrX(gr/s); gyrY(gr/s); gyrZ(gr/s)

[Ard]; 272415; 2526584860; 0; 457; -0.983154; 0.010986; -0.012939; 1.549618; 2.099237; 0.442748
[Ard]; 275414; 2526606844; 0; 464; -0.981689; 0.006836; -0.018311; 1.496183; 1.786260; 0.450382
[Ard]; 527593; 2526646364; 0; 1062; -0.982178; 0.007324; -0.018311; 1.564885; 1.877863; 0.366412
[Ard]; 530304; 2526685884; 0; 1465; -0.978760; 0.006348; -0.018066; 1.717557; 1.709924; 0.480916
[Ard]; 535286; 2526725404; 0; 1464; -0.979980; 0.007568; -0.020264; 1.610687; 1.786260; 0.534351
[Ard]; 537962; 2526764924; 0; 1058; -0.984375; 0.007568; -0.018799; 1.442748; 1.824427; 0.374046
[Ard]; 540510; 2526804444; 0; 1455; -0.987305; 0.012207; -0.023438; 1.564885; 1.732824; 0.404580
[Ard]; 764104; 2526843964; 0; 1465; -0.977783; 0.001953; -0.019531; 1.473282; 1.885496; 0.419847
[Ard]; 767357; 2526883484; 0; 466; -0.981934; 0.010254; -0.019287; 1.595420; 1.717557; 0.442748
[Ard]; 770051; 2526923004; 0; 1062; -0.978760; 0.010742; -0.012207; 1.450382; 1.587786; 0.389313
[Ard]; 772577; 2526962524; 0; 1071; -0.982178; 0.007324; -0.014160; 1.603053; 1.916031; 0.259542
[Ard]; 775424; 2527002044; 0; 1464; -0.982666; 0.005615; -0.014648; 1.748092; 1.809160; 0.404580
[Ard]; 777952; 2527041564; 0; 1067; -0.983643; 0.010986; -0.018799; 1.618321; 1.702290; 0.312977
[Ard]; 780666; 2527081084; 0; 466; -0.986084; 0.011475; -0.014893; 1.656489; 1.740458; 0.427481
[Ard]; 793875; 2527120604; 0; 1464; -0.981934; 0.008789; -0.014404; 1.648855; 1.687023; 0.320611
[Ard]; 875778; 2527160124; 0; 1460; -0.989258; 0.009277; -0.022461; 1.427481; 1.793893; 0.488550
[Ard]; 879133; 2527199644; 0; 1485; -0.983887; 0.013184; -0.022705; 1.656489; 1.801527; 0.427481
[Ard]; 956201; 2527239164; 0; 1067; -0.980713; 0.013916; -0.018311; 1.465649; 1.877863; 0.473282
[Ard]; 958855; 2527278684; 0; 1067; -0.986084; 0.000732; -0.015137; 1.526718; 1.580153; 0.419847
[Ard]; 980751; 2527318204; 0; 1143; -0.985840; 0.007324; -0.023926; 1.450382; 1.755725; 0.419847
[Ard]; 1038382; 2527357724; 0; 1067; -0.985596; 0.011963; -0.017090; 1.641221; 1.717557; 0.480916
[Ard]; 1063208; 2527397244; 0; 1147; -0.984375; 0.006836; -0.023682; 1.488550; 1.732824; 0.587786
[Ard]; 1126140; 2527436764; 0; 1067; -0.982666; 0.006836; -0.013916; 1.549618; 1.732824; 0.312977
[Ard]; 1227841; 2527476284; 0; 1460; -0.983887; 0.007324; -0.012451; 1.603053; 1.916031; 0.519084
[Ard]; 1268122; 2527515804; 0; 1067; -0.984863; 0.007568; -0.007568; 1.610687; 1.717557; 0.259542
[Ard]; 1285539; 2527555324; 0; 1452; -0.983643; 0.011475; -0.018066; 1.503817; 1.786260; 0.305344
[Ard]; 1288759; 2527594844; 0; 1058; -0.989746; 0.007080; -0.013672; 1.526718; 1.709924; 0.412214
[Ard]; 1315634; 2527634364; 0; 1054; -0.985107; 0.006348; -0.020752; 1.549618; 1.732824; 0.458015
[Ard]; 1361104; 2527673884; 0; 466; -0.982666; 0.012207; -0.019043; 1.633588; 1.694656; 0.435115
[Ard]; 1376681; 2527713404; 0; 1472; -0.982910; 0.010010; -0.018066; 1.526718; 1.839695; 0.251908
[Ard]; 1458831; 2527752924; 0; 1465; -0.983154; 0.009033; -0.021484; 1.625954; 1.671756; 0.175573
[Ard]; 1461768; 2527792444; 0; 1067; -0.990723; 0.010498; -0.018311; 1.679389; 1.816794; 0.503817
[Ard]; 1507520; 2527831964; 0; 1473; -0.983398; 0.012451; -0.025391; 1.458015; 1.610687; 0.381679
[Ard]; 1537184; 2527871484; 0; 1065; -0.984131; 0.010742; -0.020752; 1.526718; 1.778626; 0.557252
[Ard]; 1591297; 2527911004; 0; 1062; -0.984375; 0.003174; -0.023926; 1.580153; 1.778626; 0.389313
[Ard]; 1631812; 2527950524; 0; 1490; -0.977783; 0.009033; -0.014160; 1.618321; 1.824427; 0.267176
[Ard]; 1641485; 2527990044; 0; 1096; -0.981934; 0.007324; -0.016846; 1.541985; 1.893130; 0.381679
[Ard]; 1715857; 2528029564; 0; 1071; -0.982910; 0.010254; -0.018799; 1.595420; 1.786260; 0.320611
[Ard]; 1724728; 2528069084; 0; 1061; -0.986328; 0.001709; -0.018555; 1.534351; 1.770992; 0.480916
[Ard]; 1918340; 2528108604; 0; 1469; -0.985107; 0.010498; -0.015381; 1.587786; 1.595420; 0.389313
[Ard]; 1921012; 2528148124; 0; 1062; -0.988281; 0.007812; -0.015625; 1.702290; 1.862595; 0.366412
[Ard]; 1980662; 2528187644; 0; 33347; -0.990479; 0.009033; -0.024902; 1.610687; 1.832061; 0.519084
[Ard]; 2035773; 2528383908; 0; 448; -0.987305; 0.005371; -0.021240; 1.610687; 1.916031; 0.374046
[Ard]; 2064256; 2528395056; 0; 1469; -0.981445; 0.008545; -0.019287; 1.641221; 1.702290; 0.450382
[Ard]; 2125388; 2528434576; 0; 1091; -0.982178; 0.009521; -0.017578; 1.648855; 1.793893; 0.549618
[Ard]; 2176706; 2528474096; 0; 1122; -0.985352; 0.008301; -0.020508; 1.450382; 1.885496; 0.221374
[Ard]; 2184874; 2528513616; 0; 1465; -0.979248; 0.010986; -0.018311; 1.496183; 1.793893; 0.450382
[Ard]; 2225180; 2528553136; 0; 1142; -0.976562; 0.004639; -0.018555; 1.603053; 1.832061; 0.633588
[Ard]; 2247349; 2528592656; 0; 1469; -0.981689; 0.010010; -0.019531; 1.580153; 2.022901; 0.160305
[Ard]; 2295351; 2528632176; 0; 1463; -0.976318; 0.004883; -0.021973; 1.534351; 1.488550; 0.534351
[Ard]; 2331797; 2528671696; 0; 1066; -0.982178; 0.014648; -0.023193; 1.519084; 1.648855; 0.389313
[Ard]; 2407719; 2528711216; 0; 1477; -0.982178; 0.007324; -0.016602; 1.496183; 1.946565; 0.328244
[Ard]; 2425733; 2528750736; 0; 1113; -0.970947; 0.015381; -0.014160; 1.564885; 1.251908; -0.007634
[Ard]; 2466230; 2528790256; 0; 1473; -0.986572; 0.002930; -0.014648; 1.511450; 1.984733; 0.404580
[Ard]; 2508259; 2528829776; 0; 1091; -0.986572; 0.008545; -0.021484; 1.526718; 1.824427; 0.183206
[Ard]; 2547125; 2528869296; 0; 1456; -0.985107; 0.009521; -0.008545; 1.587786; 1.587786; 0.679389
[Ard]; 2598973; 2528908816; 0; 1062; -0.988770; 0.007568; -0.018555; 1.694656; 1.595420; 0.435115
[Ard]; 2603305; 2528948336; 0; 1067; -0.979492; 0.010010; -0.017334; 1.519084; 1.816794; 0.053435
[Ard]; 2645836; 2528987856; 0; 1473; -0.987793; 0.013184; -0.016846; 1.564885; 1.824427; 0.251908
[Ard]; 2706833; 2529027376; 0; 1455; -0.979248; 0.003662; -0.013428; 1.557252; 1.572519; 0.229008
[Ard]; 2734449; 2529066896; 0; 1486; -0.987305; 0.009277; -0.010010; 1.511450; 1.763359; 0.320611
[Ard]; 2770926; 2529106416; 0; 1061; -0.976074; 0.006836; -0.017334; 1.618321; 1.656489; 0.618321
[Ard]; 3052366; 2529145936; 0; 1468; -0.982910; 0.006348; -0.026367; 1.503817; 1.725191; 0.320611
