### 2016-10-04 13:18:53.305149368 +0200 CEST Data Acquisition: tiogilito 

### [Ard], localTime(us), sensorTime(us), trackerTime(us), accX(g), accY(g), accZ(g), gyrX(gr/s), gyrY(gr/s), gyrZ(gr/s)

[Ard], 234602, 2028291312, 0, -0.987061, 0.010254, -0.017822, 1.496183, 1.816794, 0.343511
[Ard], 237971, 2028313476, 0, -0.985840, 0.007324, -0.019775, 1.427481, 1.832061, 0.435115
[Ard], 240775, 2028352996, 0, -0.986328, 0.009033, -0.024902, 1.618321, 1.664122, 0.267176
[Ard], 294047, 2028392516, 0, -0.989746, 0.009521, -0.011230, 1.603053, 1.786260, 0.312977
[Ard], 359140, 2028432036, 0, -0.984375, 0.001953, -0.023193, 1.572519, 1.679389, 0.519084
[Ard], 472483, 2028471556, 0, -0.989014, 0.002441, -0.015625, 1.458015, 1.687023, 0.358779
[Ard], 475012, 2028511076, 0, -0.981934, 0.007080, -0.013916, 1.465649, 1.725191, 0.335878
[Ard], 477573, 2028550596, 0, -0.976807, 0.008789, -0.017578, 1.564885, 1.763359, 0.358779
[Ard], 480500, 2028590116, 0, -0.987793, 0.011230, -0.017578, 1.480916, 1.694656, 0.366412
[Ard], 507617, 2028629636, 0, -0.980957, 0.010010, -0.017822, 1.541985, 1.740458, 0.358779
[Ard], 562210, 2028669156, 0, -0.981201, 0.000000, -0.024170, 1.580153, 1.740458, 0.305344
[Ard], 601220, 2028708676, 0, -0.981934, 0.007568, -0.016602, 1.610687, 1.763359, 0.526718
[Ard], 651024, 2028748196, 0, -0.988037, 0.008301, -0.012451, 1.679389, 1.839695, 0.381679
[Ard], 671576, 2028787720, 0, -0.987061, 0.010986, -0.022705, 1.709924, 1.725191, 0.503817
[Ard], 738452, 2028827236, 0, -0.989746, 0.002197, -0.013672, 1.755725, 1.694656, 0.351145
[Ard], 755894, 2028866756, 0, -0.984375, 0.009033, -0.017822, 1.641221, 1.778626, 0.328244
[Ard], 811617, 2028906276, 0, -0.985596, 0.012451, -0.013672, 1.694656, 1.740458, 0.435115
[Ard], 880824, 2028945796, 0, -0.977051, 0.012939, -0.007080, 1.587786, 1.793893, 0.442748
[Ard], 883657, 2028985316, 0, -0.981445, 0.012939, -0.017822, 1.580153, 1.801527, 0.442748
[Ard], 906754, 2029024836, 0, -0.980713, 0.005615, -0.016113, 1.541985, 1.702290, 0.396947
[Ard], 947616, 2029064356, 0, -0.984619, 0.009766, -0.020996, 1.465649, 1.770992, 0.351145
[Ard], 993586, 2029103876, 0, -0.984863, 0.009033, -0.015625, 1.473282, 1.709924, 0.343511
[Ard], 1036664, 2029143396, 0, -0.987793, 0.004150, -0.009521, 1.603053, 1.877863, 0.335878
[Ard], 1076047, 2029182916, 0, -0.985107, 0.008301, -0.027100, 1.473282, 1.564885, 0.358779
[Ard], 1120064, 2029222436, 0, -0.983154, 0.007324, -0.013672, 1.458015, 1.885496, 0.259542
[Ard], 1165795, 2029261956, 0, -0.984131, 0.016846, -0.023682, 1.458015, 1.793893, 0.335878
[Ard], 1207306, 2029301476, 0, -0.983154, 0.008301, -0.010742, 1.458015, 1.824427, 0.442748
[Ard], 1218859, 2029340996, 0, -0.985352, 0.014648, -0.015869, 1.458015, 1.793893, 0.274809
[Ard], 1265266, 2029380516, 0, -0.986084, 0.008301, -0.016357, 1.572519, 1.923664, 0.564885
[Ard], 1304250, 2029420036, 0, -0.981934, 0.009033, -0.024902, 1.610687, 1.732824, 0.290076
[Ard], 1343758, 2029459556, 0, -0.986084, 0.012207, -0.013916, 1.587786, 1.847328, 0.381679
[Ard], 1388662, 2029499076, 0, -0.987549, 0.006836, -0.021729, 1.503817, 1.778626, 0.450382
[Ard], 1435573, 2029538596, 0, -0.982178, 0.006348, -0.020020, 1.580153, 1.824427, 0.381679
[Ard], 1476528, 2029578116, 0, -0.987061, 0.007324, -0.028320, 1.496183, 1.664122, 0.442748
[Ard], 1520421, 2029617636, 0, -0.982178, 0.007324, -0.015381, 1.488550, 1.763359, 0.358779
[Ard], 1562295, 2029657156, 0, -0.987793, 0.009033, -0.015381, 1.541985, 1.702290, 0.473282
[Ard], 1582112, 2029696676, 0, -0.993652, 0.009766, -0.028564, 1.496183, 1.564885, 0.290076
[Ard], 1641064, 2029736196, 0, -0.978516, 0.003418, -0.023193, 1.488550, 1.877863, 0.511450
[Ard], 1660604, 2029775716, 0, -0.989258, 0.003662, -0.013184, 1.557252, 1.877863, 0.244275
[Ard], 1690899, 2029815236, 0, -0.985107, 0.005371, -0.019531, 1.641221, 1.786260, 0.412214
[Ard], 1730017, 2029854756, 0, -0.980957, 0.007324, -0.026123, 1.473282, 1.832061, 0.465649
[Ard], 1771204, 2029894276, 0, -0.978516, 0.010010, -0.013672, 1.503817, 1.854962, 0.389313
[Ard], 1832036, 2029933796, 0, -0.984619, 0.007324, -0.021484, 1.549618, 1.664122, 0.404580
[Ard], 1856567, 2029973316, 0, -0.978027, 0.007324, -0.018799, 1.458015, 1.709924, 0.221374
[Ard], 1897324, 2030012836, 0, -0.985840, 0.009766, -0.023926, 1.610687, 1.671756, 0.328244
[Ard], 1940045, 2030052364, 0, -0.984375, 0.013184, -0.022217, 1.633588, 1.717557, 0.488550
[Ard], 1989263, 2030091876, 0, -0.984619, 0.008301, -0.018311, 1.534351, 1.709924, 0.412214
[Ard], 2028531, 2030131396, 0, -0.978516, 0.002930, -0.019531, 1.557252, 1.870229, 0.381679
[Ard], 2069015, 2030170916, 0, -0.980957, 0.010986, -0.012451, 1.618321, 1.702290, 0.351145
[Ard], 2113581, 2030210436, 0, -0.982178, 0.010010, -0.012939, 1.580153, 1.938931, 0.366412
[Ard], 2154169, 2030249956, 0, -0.984131, 0.004639, -0.017578, 1.625954, 1.732824, 0.366412
[Ard], 2193554, 2030289476, 0, -0.984375, 0.002686, -0.025391, 1.496183, 1.572519, 0.412214
[Ard], 2211625, 2030328996, 0, -0.975586, 0.009277, -0.019775, 1.587786, 1.786260, 0.389313
[Ard], 2249839, 2030368516, 0, -0.984131, 0.007324, -0.019287, 1.419847, 1.725191, 0.465649
[Ard], 2286448, 2030408036, 0, -0.987305, 0.013916, -0.016357, 1.694656, 1.709924, 0.404580
[Ard], 2328336, 2030447556, 0, -0.980469, 0.005127, -0.021240, 1.587786, 1.938931, 0.427481
[Ard], 2370300, 2030487076, 0, -0.986572, 0.009766, -0.020752, 1.595420, 1.824427, 0.396947
[Ard], 2421789, 2030526596, 0, -0.988525, 0.004883, -0.017578, 1.519084, 1.793893, 0.374046
[Ard], 2449925, 2030566116, 0, -0.990967, 0.004639, -0.023682, 1.580153, 1.740458, 0.358779
[Ard], 2490657, 2030605636, 0, -0.980469, 0.009766, -0.013184, 1.419847, 1.862595, 0.465649
[Ard], 2551050, 2030645156, 0, -0.990967, 0.005859, -0.012207, 1.503817, 1.687023, 0.389313
[Ard], 2583055, 2030684676, 0, -0.980469, 0.008789, -0.024414, 1.633588, 1.725191, 0.435115
[Ard], 2630678, 2030724196, 0, -0.989258, 0.002441, -0.012451, 1.641221, 1.770992, 0.458015
[Ard], 2673956, 2030763716, 0, -0.982666, 0.006836, -0.017334, 1.442748, 1.725191, 0.305344
[Ard], 2703135, 2030803236, 0, -0.982178, 0.011475, -0.013672, 1.687023, 1.755725, 0.389313
[Ard], 2720046, 2030842756, 0, -0.985596, 0.007812, -0.019775, 1.557252, 1.793893, 0.282443
[Ard], 2759074, 2030882276, 0, -0.982666, 0.002441, -0.020508, 1.435115, 1.687023, 0.358779
[Ard], 2805830, 2030921796, 0, -0.985352, 0.006592, -0.027100, 1.641221, 1.641221, 0.419847
[Ard], 2842711, 2030961316, 0, -0.980957, 0.012451, -0.024414, 1.473282, 1.732824, 0.412214
[Ard], 2888105, 2031000836, 0, -0.979248, 0.004639, -0.009033, 1.572519, 1.687023, 0.381679
[Ard], 2941359, 2031040356, 0, -0.988525, 0.009521, -0.020264, 1.625954, 1.694656, 0.458015
[Ard], 2975751, 2031079876, 0, -0.984375, 0.007080, -0.016113, 1.564885, 1.702290, 0.404580
[Ard], 3016894, 2031119396, 0, -0.984375, -0.000732, -0.011230, 1.526718, 1.824427, 0.541985
[Ard], 3056670, 2031158916, 0, -0.986572, 0.009033, -0.017334, 1.435115, 1.656489, 0.206107
[Ard], 3097291, 2031198436, 0, -0.979736, 0.008545, -0.016113, 1.358779, 1.916031, 0.351145
[Ard], 3136410, 2031237956, 0, -0.982178, 0.010986, -0.026855, 1.610687, 1.603053, 0.465649
[Ard], 3180689, 2031277476, 0, -0.986572, 0.007080, -0.019043, 1.755725, 1.748092, 0.526718
